id;name;description;depth;disp_order;disp_yn;uri_path;parent_id;created_by;created_at;modified_by;modified_at
1;Corporate;framework Frozen;89532;95886;Pizza;Bacon;75450;93531;2021-06-23;9388;2021-06-23
2;읍 leverage;interface;53466;75287;e-services payment user-facing;generation Consultant;27041;8413;2021-06-24;5371;2021-06-23
3;Pizza orchestrate;copy invoice;5075;96130;Grocery embrace;cross-platform matrix Account;20918;76226;2021-06-23;591;2021-06-23
4;parsing;navigate Legacy utilize;6391;97496;Handcrafted IB Investor;Berkshire;32496;87536;2021-06-24;14220;2021-06-23
5;Bedfordshire transform Cambridgeshire;asynchronous Avon leading-edge;3090;69288;SQL unleash architect;yellow Steel;40837;56689;2021-06-23;17545;2021-06-23
6;ROI 대구;compress throughput auxiliary;55467;49879;Intelligent;울산;33608;71830;2021-06-23;2419;2021-06-23
7;Kazakhstan Regional backing;sky capacity 읍;61045;42933;Industrial channels Ecuador;동 Table synthesizing;28506;81685;2021-06-23;91715;2021-06-23
8;Agent Sum incremental;Car digital;44991;7822;the;Rubber Franc seamless;71638;13779;2021-06-23;98827;2021-06-23
9;standardization compressing;solutions Metal granular;88189;49663;Future-proofed deliverables;SMS Kids;73160;2820;2021-06-23;87086;2021-06-23
10;user-centric 대전;Money Cotton;3759;70146;Greenland Fish;대전 SAS;19670;6812;2021-06-24;61435;2021-06-23
