id;name;description;dept_code;tags;status;main_admin_id;created_by;created_at;modified_by;modified_at
1;contextually-based 강원 Fresh;Table Micronesia;읍;payment utilize Account;Regional;73465;42238;2021-06-23;32903;2021-06-24
2;European 면 digital;Account;invoice optical;vortals revolutionary;Computer Supervisor;74638;43254;2021-06-23;22527;2021-06-23
3;invoice neural;Central;Buckinghamshire Keyboard;전남;충남 Direct 동;29083;20025;2021-06-23;25829;2021-06-23
4;firewall ADP International;Up-sized Jewelery application;calculate back-end;program;input;73409;28217;2021-06-24;5209;2021-06-23
5;Refined;Buckinghamshire Bacon services;Nakfa Fiji;auxiliary payment Pakistan;Pants bluetooth Borders;33319;94180;2021-06-23;49776;2021-06-23
6;Plastic;lime;GB calculating;back-end;Cross-group compelling;10615;54610;2021-06-23;30395;2021-06-24
7;동 제주;teal e-services;International networks;Architect Metal;mission-critical connect JBOD;27296;38457;2021-06-23;36150;2021-06-23
8;mobile strategy;eco-centric;blue;convergence firewall Refined;Haiti Handmade;67539;15510;2021-06-23;11924;2021-06-23
9;eyeballs hardware;Digitized Home;Frozen GB invoice;CSS Computer;Investor invoice;67935;36365;2021-06-23;71000;2021-06-23
10;bottom-line drive;세종 (customarily;Algerian Loan;Strategist seize Account;maroon;25540;14980;2021-06-23;13438;2021-06-23
