id;name;description;dept_code;tags;status;main_admin_id;created_by;created_at
1;online;RSS;sensor override 충남;Chicken maroon Dinar;Dalasi Internal;99803;75866;2021-06-23
2;Focused hack Liberian;THX Avon;static;incremental;Cotton Ergonomic;68467;47542;2021-06-24
3;schemas 읍;Electronics Steel;Towels France Cheese;transform bifurcated;drive Omani olive;99099;87726;2021-06-23
4;impactful;Steel revolutionize auxiliary;backing;superstructure e-tailers white;Personal Account reinvent;425;54589;2021-06-23
5;Interactions Borders violet;collaboration microchip ROI;부산 array;동 hub;needs-based;70036;68445;2021-06-23
6;deposit Mouse;extensible Senior;Licensed Bike 읍;Music;HTTP;83770;72846;2021-06-23
7;전북 tan Rupiah;Berkshire Generic;Wooden Regional;fault-tolerant Associate;동;99152;60171;2021-06-23
8;Avon;Officer CSS cross-media;set visionary Outdoors;e-tailers invoice Soft;Ergonomic;74661;36163;2021-06-23
9;compressing;제주 turquoise;orange line;plug-and-play copying;Small Small National;61574;71430;2021-06-23
10;Dynamic e-tailers application;Agent GB;plug-and-play convergence;Solutions capacitor;synthesize experiences logistical;48576;24260;2021-06-23
